ID,Prompt Title,Audience,Category,Subcategory,Key Stage,Subject,SEND Tag,Compliance Tags,Free/Premium,SEO Keyword,Prompt
T021,GCSE Lesson Framework Builder,Teacher,Lesson Planning,GCSE,KS4,Any Subject,None,"UK Curriculum Aligned, Age Appropriate",Premium,GCSE lesson plan framework UK teacher,"You are an AI assistant helping a UK teacher design a lesson framework for a GCSE [SUBJECT] class at Key Stage 4, covering [TOPIC] from the [EXAM BOARD] specification. Build a 60-minute lesson plan structured to develop both subject knowledge and exam technique simultaneously. Include: a retrieval starter drawing on prior specification content; a direct instruction phase introducing new content linked to the specification; an exam-style question practice activity with mark scheme guidance; a peer-assessment or whole-class feedback phase; and a low-stakes exit quiz. For the exam-style question, specify the command word (e.g. describe, explain, evaluate), the number of marks, and the expected response length. Include teacher guidance on using the mark scheme formatively. Provide differentiated support for lower-attaining pupils and extension for those targeting grades 8 to 9. Reference the [EXAM BOARD] assessment objectives and any relevant specification criteria."
T022,A-Level Seminar Planner,Teacher,Lesson Planning,A-Level,KS5,Any Subject,None,"UK Curriculum Aligned, Age Appropriate",Premium,A-level seminar plan sixth form UK,"You are an AI assistant helping a UK sixth-form teacher plan a seminar-style lesson for A-Level [SUBJECT] on [TOPIC]. Design a 75-minute session that develops students' ability to engage in academic discourse, construct arguments, and critically evaluate ideas at A-Level standard. Structure the seminar with: a pre-reading or preparation task students complete beforehand; an opening discussion question to activate thinking; a structured debate or Socratic seminar phase; an independent analytical writing task; and a closing reflection. Provide five high-quality discussion questions that move from comprehension to evaluation. Include suggested academic sources or extracts students should engage with. Specify how the teacher should facilitate without dominating discussion, including wait time and cold-calling strategies. Align the seminar to the [EXAM BOARD] A-Level specification and the relevant assessment objectives. Note how students' seminar contributions could be used as preparation for NEA or coursework components."
T023,Practical Lesson Designer,Teacher,Lesson Planning,Practical Science,KS3-5,Science,None,"UK Curriculum Aligned, Safeguarding Checked, Age Appropriate",Premium,science practical lesson plan UK secondary,"You are an AI assistant helping a UK science teacher design a practical lesson for [SCIENCE SUBJECT: Biology, Chemistry, or Physics] at [KEY STAGE] investigating [PRACTICAL TOPIC OR PHENOMENON]. Create a full practical lesson plan including: a pre-practical prediction and hypothesis activity; step-by-step method instructions written for pupils; a required apparatus list; key health and safety considerations referencing CLEAPSS guidance; a results recording table; and a post-practical analysis and evaluation phase. Include five structured questions to guide pupils through interpreting their results, culminating in an evaluation of the method. Provide differentiation: a pre-prepared results table and writing frame for lower-attaining pupils, and a mathematical extension or secondary research task for higher attainers. Align the practical to the relevant required practical for [EXAM BOARD] if applicable, or to the KS3 National Curriculum science programme of study. Include a teacher pre-lesson safety checklist."
T024,Flipped Learning Planner,Teacher,Lesson Planning,Flipped Learning,KS4-5,Any Subject,None,"UK Curriculum Aligned, Age Appropriate",Premium,flipped learning lesson plan UK school,"You are an AI assistant helping a UK teacher design a flipped learning lesson for [SUBJECT] at [KEY STAGE] on [TOPIC]. In a flipped model, students access new content at home and use class time for deeper practice. Design a complete flipped learning plan including: a pre-lesson home task (specify an instructional video, reading, or podcast of no more than 15 minutes with two comprehension check questions); an in-class check-in to confirm students have engaged with the pre-work; a main class activity that applies or extends the home-learning content through discussion, problem-solving, or creation; and a formative assessment to close the lesson. Provide student-facing instructions for the home task that are clear enough for independent use. Suggest what to do for students who have not completed the pre-lesson task. Note how to communicate the flipped model to parents. Align to [EXAM BOARD] specification content and assessment objectives."
T025,Lesson Sequence Builder,Teacher,Lesson Planning,Sequencing,KS3-5,Any Subject,None,"UK Curriculum Aligned, Age Appropriate",Premium,lesson sequence planning UK secondary curriculum,"You are an AI assistant helping a UK teacher design a sequence of five connected lessons for [SUBJECT] at [KEY STAGE] on the unit theme of [UNIT THEME]. Plan the lessons so they build progressively in depth and complexity, with explicit links to prior and future learning. For each lesson, provide: a lesson number and title; the key learning objective; a brief overview of the main activities (starter, main, plenary); the formative assessment strategy; and the resources or pre-prepared materials needed. Show how knowledge and skills from lesson one are revisited and built upon in later lessons, referencing spaced practice principles. Include a retrieval quiz at lesson four that draws on all prior lessons in the sequence. Map the sequence to the relevant National Curriculum or [EXAM BOARD] specification units. Suggest how the sequence links to the broader curriculum intent and medium-term plan. Include a brief note on how to adapt the sequence for a double-period timetable."
T026,Curriculum Mapping Assistant,Teacher,Lesson Planning,Curriculum Planning,KS1-5,Any Subject,None,"UK Curriculum Aligned, Age Appropriate",Premium,curriculum mapping tool UK school teacher,"You are an AI assistant helping a UK teacher or subject leader create a curriculum map for [SUBJECT] across [KEY STAGE] for the academic year [YEAR]. Design a term-by-term curriculum map that sequences units of learning in a logical, coherent order, avoiding unnecessary repetition and building on prior knowledge. For each term (three terms per year), include: unit titles; key concepts and knowledge to be taught; skills progression; suggested assessment points; and links to other subjects for cross-curricular coherence. Identify any statutory National Curriculum content and ensure it is covered within the year. Flag any gaps in the current scheme of work based on the provided overview. Suggest where retrieval practice of earlier units can be embedded within later terms. Align the map to the Ofsted Education Inspection Framework's intent, implementation, and impact framework. Provide a brief rationale for the sequencing decisions made."
T027,Learning Objective Generator,Teacher,Lesson Planning,Learning Objectives,KS1-5,Any Subject,None,"UK Curriculum Aligned, Age Appropriate",Free,learning objectives UK lesson planning tool,"You are an AI assistant helping a UK teacher write clear, specific, and measurable learning objectives for a lesson on [TOPIC] in [SUBJECT] at [KEY STAGE]. Generate five learning objectives differentiated across three levels: two objectives for pupils working towards the expected standard, two at the expected standard, and one for greater depth or A-Level extension. Write each objective using the format: All pupils will be able to [VERB] [KNOWLEDGE OR SKILL]; Most pupils will be able to [VERB] [KNOWLEDGE OR SKILL]; Some pupils will be able to [VERB] [KNOWLEDGE OR SKILL]. Use precise, active verbs appropriate to the cognitive demand (e.g., describe, explain, analyse, evaluate, justify). Align all objectives to the relevant National Curriculum attainment target or [EXAM BOARD] assessment objective. Avoid vague objectives such as 'understand' or 'know about'. Include a suggestion for how to share objectives with pupils using pupil-friendly language."
T028,Success Criteria Builder,Teacher,Lesson Planning,Success Criteria,KS1-5,Any Subject,None,"UK Curriculum Aligned, Age Appropriate",Free,success criteria lesson UK teacher builder,"You are an AI assistant helping a UK teacher create success criteria for a lesson on [TOPIC] in [SUBJECT] at [KEY STAGE]. Generate a set of success criteria that pupils can use to self-assess their work and understand what quality looks like. Write three sets of criteria: a basic set (for pupils working towards the expected standard) with three bullet points; a standard set (expected level) with four bullet points; and a challenge set (greater depth or distinction standard) with five bullet points. Write all criteria in pupil-friendly first-person language, e.g., 'I can...' or 'I have...'. Include at least one criterion related to subject-specific vocabulary use at each level. Suggest two ways the teacher can use the criteria formatively during the lesson (e.g., mid-lesson peer check or teacher reference during feedback). Align criteria to the relevant National Curriculum or [EXAM BOARD] grade descriptors. Provide a brief note on how to introduce success criteria without narrowing pupils' thinking."
T029,Mini Whiteboard Activity Generator,Teacher,Lesson Planning,Active Learning,KS1-4,Any Subject,None,"UK Curriculum Aligned, Age Appropriate",Free,mini whiteboard activities UK classroom teacher,"You are an AI assistant helping a UK teacher design eight mini whiteboard activities for [SUBJECT] at [KEY STAGE] on the topic of [TOPIC]. Mini whiteboards allow instant whole-class response and low-stakes formative assessment. For each activity, provide: a name; a clear teacher prompt or question to display; the expected pupil response format (word, diagram, number, sentence); and how the teacher should use the visible responses to adapt the lesson. Include a variety of activity types: show me questions with single-word answers; calculation or equation tasks; diagram labelling; sentence completion; ranking or ordering tasks; and quick true/false responses. Ensure activities are paced at no more than three minutes each. Include a brief classroom management tip for distributing and collecting boards efficiently. Note any adaptations for pupils with fine motor difficulties or SEND. Align all activities to the lesson's learning objectives and National Curriculum content."
T030,Exit Ticket Creator,Teacher,Lesson Planning,Formative Assessment,KS1-5,Any Subject,None,"UK Curriculum Aligned, Age Appropriate",Free,exit ticket formative assessment UK lesson,"You are an AI assistant helping a UK teacher create five exit tickets for a lesson on [TOPIC] in [SUBJECT] at [KEY STAGE]. Each exit ticket should take pupils no more than five minutes to complete and provide the teacher with actionable formative assessment data. Design five distinct exit ticket formats: (1) three retrieval questions at increasing difficulty; (2) a confidence rating with a written justification; (3) one application question requiring a short written answer; (4) a vocabulary definition task for two key terms from the lesson; and (5) a misconception identification task where pupils spot the error in a worked example. For each exit ticket, suggest how the teacher should sort and respond to the responses before the next lesson, including a traffic-light grouping system. Include pupil-friendly instructions. Align all questions to the lesson's learning objectives. Provide a brief teacher note on using exit ticket data without increasing workload unsustainably."
T031,Formative Assessment Builder,Teacher,Assessment,Formative Assessment,KS2-5,Any Subject,None,"UK Curriculum Aligned, Age Appropriate",Free,formative assessment strategies UK teacher,"You are an AI assistant helping a UK teacher design a formative assessment strategy for a lesson on [TOPIC] in [SUBJECT] at [KEY STAGE]. Create a comprehensive formative assessment plan that includes five distinct assessment techniques to be used at different points in the lesson. Include: a pre-assessment starter to gauge prior knowledge; a mid-lesson hinge question to check understanding of a key concept before moving on; a whole-class response technique (such as hands-up alternatives, mini whiteboards, or ABC cards); a peer assessment activity with clear criteria; and a written exit task. For each technique, explain: when to use it in the lesson; what teacher actions follow from the information gathered; and how it reduces bias compared to whole-class hands-up. Reference the Assessment for Learning (AfL) framework and EEF guidance. Include a brief note on recording formative assessment data without creating excessive workload. Align all assessment points to the lesson's learning objectives."
T032,Summative Assessment Creator,Teacher,Assessment,Summative Assessment,KS3-5,Any Subject,None,"UK Curriculum Aligned, Age Appropriate",Premium,summative assessment design UK school teacher,"You are an AI assistant helping a UK teacher design a summative assessment for [SUBJECT] at [KEY STAGE] at the end of the unit on [TOPIC]. Create a complete assessment including: a cover page with pupil name, class, and date fields; a clear assessment objective grid showing which questions address which curriculum or specification objectives; a range of question types including at least two multiple-choice questions, two short-answer questions, one extended-answer question, and one application question; a total mark scheme; and a pupil-facing self-evaluation section. Ensure the assessment takes no longer than [TIME, e.g., 45 minutes] to complete. Calibrate question difficulty across the assessment: 40% accessible, 40% expected standard, 20% challenge. Include guidance notes for the marker on common misconceptions to watch for. Align the assessment to the relevant National Curriculum attainment targets or [EXAM BOARD] assessment objectives. Provide a brief note on returning results in a way that supports next steps."
T033,GCSE Question Writer,Teacher,Assessment,GCSE Questions,KS4,Any Subject,None,"UK Curriculum Aligned, Age Appropriate",Premium,GCSE practice questions UK exam teacher resource,"You are an AI assistant helping a UK teacher write original GCSE-style practice questions for [SUBJECT] on the topic of [TOPIC], aligned to the [EXAM BOARD] specification. Write ten questions covering a range of mark allocations: two one-mark questions, two two-mark questions, two four-mark questions, two six-mark questions, and two extended-answer questions (eight to twelve marks). For each question, include: the question text using appropriate command words (describe, explain, analyse, evaluate, assess, justify); the marks available; a full mark scheme with indicative content and marking guidance; and the assessment objective addressed (AO1, AO2, AO3 where applicable). Ensure questions are original and do not reproduce past paper questions verbatim. Include a note on which questions are most suitable for timed practice versus homework. Provide one example of a high-band and one mid-band model answer for the final extended-answer question. Align to [EXAM BOARD] [SUBJECT] specification content."
