"Tool","Category","Current Promptly Score (live baseline)","Safeguarding evidence","Data Privacy evidence","Age Suitability evidence","Accessibility evidence","Transparency evidence","Missing evidence","Review basis","Confidence level","Human review required"
"SchoolAI","Student Study Tools","8.1","Student-safety page: AI assistant 'Dot' will not create harmful content involving minors, will not act like a human friend, won't put engagement ahead of wellbeing (schoolai.com/trust/student-safety)","States OpenAI/other providers do not use PII/conversations for model training; FERPA/COPPA; Trust Center shows SOC2 Type2, FERPA, COPPA, 1EdTech (schoolai.com/privacy; schoolai.com/data-security)","Privacy policy: deletes data if collected from a child under 13 without parental consent; ToS has no explicit minimum-age clause (schoolai.com/privacy; schoolai.com/terms)","EVIDENCE NOT AVAILABLE (no accessibility statement/VPAT; schoolai.com/trust/accessibility returns 404)","Names OpenAI/AI providers; confirms data not used for their training; no public model card/version (schoolai.com/privacy)","No accessibility/VPAT; no model card; DPA/SOC2 gated (request-only)","Desk Review (public documentation only)","Medium","Yes — Student-facing AI: verify gated DPA/SOC2; confirm whether any accessibility doc exists; HANDS-ON test moderation/crisis-alert behaviour + age-appropriate controls before any score"
"Khanmigo","Student Study Tools","6.9","Uses moderation tech to detect inappropriate/harmful interactions, limits daily AI use, uses red-teaming (blog.khanacademy.org/aiguidelines)","Uses DPAs asserting FERPA/COPPA/PPRA; LLMs not trained on student data (main privacy page is JS-rendered, not directly fetchable — khanacademy.org/about/privacy-policy)","Terms: US users >=13 or local consent age, or school/teacher/parent approval; teachers 18+ (ToS not directly fetchable, search-verified)","States WCAG 2.2 AA development baseline, yearly VPATs/ACRs, annual third-party audits (blog.khanacademy.org/ada-title-ii-and-digital-accessibility...)","AI guidelines describe red-teaming, monitoring, communicating AI risks/limitations; documented elsewhere as OpenAI GPT-powered but no first-party model-naming page (blog.khanacademy.org/aiguidelines)","Could not directly fetch privacy policy/ToS (JS-rendered) or Khanmigo safety support article (403); no first-party model card; no published transparency report","Desk Review (public documentation only)","Medium","Yes — Student-facing AI tutor: directly verify live privacy policy & ToS (age 13, no-LLM-training); confirm first-party model/version disclosure; HANDS-ON test moderation + parent/teacher visibility"
"Sparx Maths","Student Study Tools","9.6","EVIDENCE NOT AVAILABLE (no dedicated safeguarding/moderation policy; structured homework, no open student chat, students cannot raise tickets — support.sparxmaths.com/.../342285)","Binding UK GDPR-compliant data processing contracts with support companies; data in EEA with SCCs/UK addendum/IDTAs; never share school data without written permission (support.sparxmaths.com/.../345062)","Confirms adherence to the ICO Age Appropriate Design Code (Children's Code) (support.sparxmaths.com/.../342286)","Approach page lists keyboard nav, zoom, colour overlays, captions, OpenDyslexic font, screen-reader compatibility, per-student accommodations; no WCAG level stated (support.sparxmaths.com/.../342331)","Sparx data prohibited for training 3rd-party AI; AI only summarises/categorises teacher support tickets via gated GDPR API, staff-reviewed (support.sparxmaths.com/.../342285)","No explicit WCAG level/VPAT; no dedicated safeguarding policy; main T&Cs PDF + sparxlearning.co.uk privacy policy not fetchable (403/TLS error)","Desk Review (public documentation only)","Medium-High","Yes — Obtain full T&Cs + DPA; confirm WCAG level via audit; verify sub-processor/support-company list. (Safeguarding pillar cannot be N/A — needs a stated stance.)"
"Seneca Learning","Student Study Tools","8.8","EVIDENCE NOT AVAILABLE (no dedicated safeguarding/moderation policy; help note: students can leave a class to revoke access — help.senecalearning.com/.../2483304)","GDPR-compliant; data stored in the EU (Dublin) with 256-bit AES; UK Cyber Essentials; ICO-registered; processor in school use, school is controller (help.senecalearning.com/.../2483304; senecalearning.com/en-GB/privacy)","EVIDENCE NOT AVAILABLE (no explicit minimum-age statement in the reviewed privacy policy)","EVIDENCE NOT AVAILABLE (no accessibility statement/VPAT/WCAG located)","EVIDENCE NOT AVAILABLE (privacy policy references improving 'algorithms/models' but no model card/version/AI disclosure)","4 of 5 pillars unverified incl. Safeguarding; encryption/Cyber Essentials sourced from help centre not the formal policy/DPA","Desk Review (public documentation only)","Low-Medium","Yes — Verify minimum age + child-data handling in live policy/DPA; confirm Cyber Essentials currency; locate any accessibility statement; clarify AI/adaptive models + training use"
"Duolingo","Student Study Tools","9.1","EVIDENCE NOT AVAILABLE (no first-party safeguarding/moderation policy fetched; child accounts restrict name/contact/photo — privacy-framed, not safeguarding)","Treats 'Child Users' (under 13 US, or local digital-consent age) differently, collects bare-minimum info, requires parent email at first logout (main page JS-rendered, search-verified — duolingo.com/privacy)","Standard accounts require >=13; under-13 use restricted Child accounts; Duolingo ABC for ages ~3-12 (duolingo.com/privacy; duolingo.com/abc-privacy — not directly fetchable)","EVIDENCE NOT AVAILABLE (no first-party accessibility statement with a WCAG claim located)","EVIDENCE NOT AVAILABLE (no first-party model card/system disclosure for AI features verified)","Main privacy policy, ABC policy & Schools compliance page not fetchable (JS/403); no accessibility statement; no AI transparency","Desk Review (public documentation only)","Low-Medium","Yes — Directly verify live privacy/ABC/Schools pages (age 13, COPPA, child-account restrictions); locate any accessibility statement; document the AI/GPT models behind Duolingo Max + data terms"
"Texthelp Read&Write","SEND & Inclusion","9.5","EVIDENCE NOT AVAILABLE (assistive-reading tool, not generative; no published safeguarding note verified)","Publishes 'Privacy policy for Everway products'; Trust page asserts COPPA/FERPA/GDPR/ISO 27001/SOPPA (everway.com/privacy — Texthelp rebranded to Everway; texthelp.com/privacy 308-redirects)","EVIDENCE NOT AVAILABLE (no minimum-age clause verified; education-distributed under school licence)","VPATs for Read&Write (Windows/Mac/Chrome) + stated WCAG 2.2 AA commitment (support.texthelp.com/help/texthelp-vpats; everway.com/about/accessibility)","EVIDENCE NOT AVAILABLE (rules/TTS/OCR-based; no model card/version verified; AI features not detailed)","Full product privacy policy text (only Google-Doc links surfaced); OCR/PDF retention; explicit minimum age; safeguarding stance; AI/model disclosure for newer AI features; Texthelp->Everway entity change","Desk Review (public documentation only)","Medium","Yes — Read the linked Everway/Texthelp product privacy doc + Read&Write VPAT in full; confirm OCR retention, residency, minimum age; verify rebrand doesn't change UK-school DPA. (Safeguarding cannot be N/A — needs a stance.)"
"Immersive Reader","SEND & Inclusion","9.1","EVIDENCE NOT AVAILABLE (reading-comprehension renderer, not generative; no product-specific child-safety doc)","Microsoft Learn: 'Immersive reader doesn't store any customer data' (learn.microsoft.com/azure/ai-services/immersive-reader/overview)","EVIDENCE NOT AVAILABLE (no product-specific minimum-age statement; governed by broader Microsoft/Office/Azure terms)","Microsoft publishes ACRs/VPATs vs WCAG A/AA, 508, EN 301 549; Immersive Reader described as inclusively designed (microsoft.com/accessibility/conformance-reports; learn.microsoft.com/.../immersive-reader/overview)","Learn doc explains it's a web app in an iframe whose backend processes parts of speech, TTS, translation (learn.microsoft.com/.../immersive-reader/overview)","Product-specific ACR/VPAT (vs general portal); which Microsoft privacy/DPA terms apply to the deployment surface (Edge/Word/Teams vs Azure); explicit minimum age","Desk Review (public documentation only)","Medium","Yes — Read the ACR for the deployment surface; confirm applicable privacy/DPA terms for UK schools; verify 'no data stored' for the relevant surface. (Safeguarding cannot be N/A — needs a stance.)"
"Goblin Tools","SEND & Inclusion","9.0","EVIDENCE NOT AVAILABLE (no child-safety/moderation policy; only a general accuracy disclaimer)","Privacy policy: collects 'the bare minimum'; input to OpenAI cannot be linked back — neither Goblin nor OpenAI gets who/where submitted (goblin.tools/Privacy)","Privacy policy: service does not address anyone under 18 and does not knowingly collect under-18 data — an 18+ self-declared stance, not child-safe design (goblin.tools/Privacy)","EVIDENCE NOT AVAILABLE (no accessibility statement/VPAT/WCAG claim)","About page: AI models from different providers (open & closed source); outputs are 'guesswork', not statements of truth (goblin.tools/About; goblin.tools/Privacy)","Data retention; named subprocessors beyond OpenAI; any accessibility doc; specific model/version; any institutional DPA. 18+ scope significant for pupil deployment","Desk Review (public documentation only)","Medium","Yes — Confirm 18+ scope vs actual pupil use; test what data the web tool transmits; confirm absence of any DPA; assess output safety/age-appropriateness hands-on"
"Diffit","Teaching & Learning","8.7","EVIDENCE NOT AVAILABLE as a standalone doc; but privacy policy states 'We do not collect ANY student data', reducing pupil-data exposure (web.diffit.me/privacy)","Collects only teacher names/emails/IPs; FERPA & COPPA compliant; National Data Privacy Agreement signatory; encrypts in transit/at rest; annual independent pen testing (web.diffit.me/privacy)","ToS require users 18+ and a teacher/admin using it for instructional purposes (web.diffit.me/terms-of-service)","Help-centre statement reports WCAG 2.1 AA + VPAT on request (weloveteachers@diffit.me) (support.diffit.me/.../37675797544717) — page 403, corroborated across two searches","EVIDENCE NOT AVAILABLE (ToS do not disclose the underlying model; only an accuracy disclaimer)","Direct confirmation of WCAG statement (page blocked); the VPAT (request-only); model/version disclosure; UK data residency (policy states US processing)","Desk Review (public documentation only)","Medium-High","Yes — Obtain & read the VPAT/accessibility statement directly; confirm US-residency vs UK GDPR; confirm no student data in practice; identify the underlying model for transparency"
"Curipod","Classroom Management","8.0","'Safe AI in Curipod': every AI interaction teacher-initiated, structured, limited in scope; references a Moderation Tool; never uses teacher/student data to train models (curipod.com/c/safe-ai-in-curipod)","Help centre: GDPR/FERPA/COPPA compliant; never uses student data commercially; signed DPAs on request (eirik@curipod.com) (help.curipod.com/.../6-is-curipod-gdpr-ferpa-and-coppa-compliant)","EVIDENCE NOT AVAILABLE from a verified Curipod page (main terms/privacy JS-rendered); third-party Common Sense rates 68% Pass, flags parental-consent at 50% (privacy.commonsense.org/privacy-report/Curipod)","EVIDENCE NOT AVAILABLE (curipod.com/accessibility returned no content; no WCAG level verifiable)","'Safe AI' page names model families: OpenAI (o3, gpt-5, gpt-4o, gpt-4o-mini, gpt-image), Google Gemini (gemini-3-pro/flash), Ideogram, Stable Diffusion (curipod.com/c/safe-ai-in-curipod)","Verified full privacy policy/terms text (JS-rendered); explicit minimum age + consent model; verifiable accessibility/WCAG; confirmation of EU storage from the live policy","Desk Review (public documentation only)","Medium","Yes — Load JS-rendered privacy/terms/accessibility pages in a browser to verify age, residency, consent, WCAG; obtain signed UK GDPR DPA; hands-on test the moderation tool"
"Century Tech","Student Study Tools","9.0","Privacy Notice (eff. 2026-05-01): collects data to fulfil security & safeguarding responsibilities; schools must ensure generative-AI parts accessed only by age-appropriate students (century.tech/.../CENTURY-Tech-Privacy-Notice_010526.pdf)","Privacy Notice: when accessed via a school, the school is Data Controller and Century is Data Processor with no independent rights (century.tech/.../CENTURY-Tech-Privacy-Notice_010526.pdf)","Privacy Notice places responsibility on the school/teacher to ensure generative-AI parts accessed only by age-appropriate students (century.tech/.../CENTURY-Tech-Privacy-Notice_010526.pdf)","EVIDENCE NOT AVAILABLE","Privacy Notice: AI for next-task recommendations & marking long-form work; models on secure private cloud; personal data not used to train AI; training data anonymised (century.tech/.../CENTURY-Tech-Privacy-Notice_010526.pdf)","No accessibility statement/VPAT/WCAG; no published DPA/sub-processor list; no SOC2/ISO 27001 cert or named model cards verified","Desk Review (public documentation only)","Medium","Yes — Confirm accessibility conformance (WCAG/VPAT); obtain DPA + sub-processor list; hands-on test the generative-AI marking feature + age-gating"
"Satchel One","Administration & Operations","8.5","Publishes a safeguarding framework (students, parents, tutors, teachers, schools); 2FA, regular access reviews, staff background checks (teamsatchel.com/security.html)","DBS checks on staff with data access; data on AWS in Ireland/EEA with SHA256/RSA-2048; updated GDPR-compliant data-sharing agreement (help.satchelone.com/.../2904595-satchel-and-gdpr-compliance)","EVIDENCE NOT AVAILABLE (no explicit minimum-age clause on a verified page; AWS region stated as UK on security page vs Ireland in GDPR help — discrepancy)","EVIDENCE NOT AVAILABLE","EVIDENCE NOT AVAILABLE (primarily an MIS/homework platform; model disclosure may not apply)","No verified Terms/minimum-age page; no accessibility statement/VPAT; AWS hosting region conflict (UK vs Ireland) needs vendor clarification","Desk Review (public documentation only)","Medium","Yes — Obtain Terms + explicit minimum-age policy; reconcile the AWS hosting-region discrepancy; confirm whether any accessibility statement exists"
"Brisk Teaching","Assessment & Feedback","8.4","Student Data Privacy Addendum: reasonable admin/physical/technical safeguards, treat Student Data as confidential; 'custom guardrails' for student-facing Boost (briskteaching.com/privacy/student-data-privacy-addendum)","SOC2 compliant; 1EdTech Data Privacy Certification & TrustEd Apps Seal; encrypts in transit/at rest; doesn't use student/teacher data to train AI (briskteaching.com/privacy/privacy-center)","Terms: users 18+ or with parent/educational-institution permission; DPA authorises under-13 collection only under school direction (briskteaching.com/privacy/terms; .../student-data-privacy-addendum)","EVIDENCE NOT AVAILABLE","Security FAQ: uses a range of LLMs, Boost uses a cloud-hosted LLM, no specific model/provider named; user input not used to train models (briskteaching.com/privacy/security-faqs)","No accessibility statement/VPAT/WCAG; specific AI model names/version not published; student-facing Boost moderation policy not detailed publicly","Desk Review (public documentation only)","Medium","Yes — Verify accessibility conformance; press vendor for named models/version; hands-on test Brisk Boost guardrails + moderation with student inputs"
"Quizizz","Assessment & Feedback","8.5","Privacy Center: respects consent of under-13s; parents can manage/delete a child's account; students can use without accounts/PII unless required (wayground.com/home/privacy-center; help.wayground.com/.../158000404026)","ISO/IEC 27001:2022 certified; industry-standard encryption in transit & at rest; FERPA/COPPA/GDPR; access-controlled AWS data centres, 24/7 monitoring (wayground.com/home/privacy-center)","Privacy Center respects consent of under-13s; parents/guardians manage & delete under-13 accounts (wayground.com/home/privacy-center)","Accessibility & Inclusion Statement claims WCAG 2.1 A/AA + 2.2 A/AA, completed VPAT (on request), 25+ accessibility features (help.wayground.com/.../158000404015)","Wayground AI combines GPT-5 with classroom-tested activities; teacher-only access, zero student data in AI training; OpenAI does not use personal data for training (wayground.com/quizizz-ai; wayground.com/home/privacy-center)","VPAT/ACR is request-only (conformance unverified); no openly published DPA/sub-processor list; UK data-residency detail unconfirmed. Now rebranding Quizizz->Wayground","Desk Review (public documentation only)","High","Yes — Inspect the actual VPAT/ACR; verify GPT-5 claim + OpenAI data-handling contractually; confirm UK data residency"
"Kahoot!","Assessment & Feedback","8.9","Privacy Notice: no third-party advertising in Services/App/Website; do not sell students' personal info; dedicated child-safety policy; child-account email usable only as password reminder (trust.kahoot.com/privacy-policy)","Security Measures: AES-256 (or similar), TLS 1.2+, continuous third-party pen testing with annual reports; all sub-processors hold ISO 27001 + SOC2 Type2 (trust.kahoot.com/security-measures)","Privacy Notice: 'Child' = under 13 (US) / under 16 (outside US); child email only for password reminders; GDPR/UK GDPR/FERPA/COPPA/SOPIPA (trust.kahoot.com/privacy-policy)","Inclusion & Accessibility Policy: aims to comply with WCAG 2.2 AA; ACR based on VPAT v2.5 (last modified 2025-01-23) (trust.kahoot.com/inclusion-accessibility-policy)","EVIDENCE NOT AVAILABLE (no model card/named model/version disclosure for Kahoot's AI features on a verified page)","No AI model/system transparency for AI-generation features; VPAT/ACR document not directly fetched; Kahoot's own (vs sub-processors') ISO 27001 not explicitly confirmed","Desk Review (public documentation only)","High","Yes — Locate/verify any AI model disclosure for Kahoot AI; inspect the actual VPAT/ACR; confirm Kahoot's own ISO 27001/SOC2 status"
