"Tool","Status","Review basis","Safeguarding","Data Privacy","Age Suitability","Accessibility","Transparency","v2.2 Score","Verdict","Confidence","Cap binds?","Avoid trigger","Evidence gaps"
"Texthelp Read&Write","NOT-SCOREABLE","Evidence gathered — not scoreable","","","","","","","","None","","","Safeguarding evidence not gathered (assistive; needs stance); min age; Texthelp->Everway"
"Nessy","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Equatio","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Goblin Tools","NOT-SCOREABLE","Evidence gathered — not scoreable","","","","","","","","None","","","Safeguarding & Accessibility evidence not gathered; 18+ scope"
"Brain in Hand","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Co:Writer","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Clicker","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Ghotit","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Widgit Online","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Seeing AI","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"BeeLine Reader","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"OrbitNote","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Glean","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Be My Eyes","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"ElevenLabs","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"ReadSpeaker","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Speechify","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Snap&Read","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"ModMath","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Sunsama","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Motion","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"InnerVoice AI","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Voice Dream Reader","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Dragon Anywhere","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"ClaroRead","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Penfriend XL","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Proloquo2Go","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"TouchChat","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Grid 3","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Boardmaker","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Envision AI","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Lexia Core5","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Immersive Reader","NOT-SCOREABLE","Evidence gathered — not scoreable","","","","","","","","None","","","Safeguarding evidence not gathered; product-specific ACR/DPA surface unclear"
"Otter.ai","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Grammarly","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"QuillBot","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Hemingway Editor","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"ProWritingAid","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Wordtune","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"ChatGPT","SCORED-DRAFT","Desk","5.5","5.5","6.5","7.0","8.0","6.1","Proceed Carefully","Low","No","No","Not education-built; consumer data/training; policies 403"
"Claude","SCORED-DRAFT","Desk","6.0","7.5","4.5","5.0","8.5","6.3","Proceed Carefully","Med","No","No","18+ floor (not for pupils); VPAT NDA-gated"
"Gemini","SCORED-DRAFT","Desk","6.0","6.0","6.0","7.0","6.5","6.2","Proceed Carefully","Low","No","No","Consumer min age; which VPAT applies"
"Perplexity AI","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"NotebookLM","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Microsoft Copilot","SCORED-DRAFT","Desk","6.5","7.5","5.5","6.0","8.0","6.7","Proceed Carefully","Med","No","No","Min age unverified; no Copilot ACR; consumer vs enterprise"
"Poe","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Meta AI","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Canva","SCORED-DRAFT","Desk","7.0","7.5","7.5","7.0","4.5","7.0","Worth Considering","Med","No","No","Magic Studio AI model undisclosed (403); DPA"
"Adobe Express","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Gamma","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Synthesia","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Miro","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Beautiful.ai","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Prezi","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Pictory","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Runway","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"PlayHT","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Audionotes","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Figma for Education","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Adobe Firefly","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Microsoft Designer","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Fotor AI","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Google Classroom","SCORED-DRAFT","Desk","8.0","8.0","7.5","8.5","7.5","8.0","Strong Recommendation","Med-High","No","No","DPA/UK residency; AI via Gemini"
"Microsoft 365 Education","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Microsoft Copilot for Education","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Moodle","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Canvas LMS","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Satchel One","SCORED-DRAFT","Desk","6.5","7.0","5.5","4.5","N/A","6.1","Proceed Carefully","Low","No","No","Min age & accessibility absent; AWS region contradiction; Tr N/A (MIS)"
"Arbor MIS","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Classcharts","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Firefly Learning","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"D2L Brightspace","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"CPOMS","SCORED-DRAFT","Desk","8.0","8.0","N/A","5.5","N/A","7.5","Worth Considering","Med","No","No","RE-SCORE under v2.2.1 (Class B); accessibility widget-only"
"Smoothwall Monitor","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"ClassDojo","SCORED-DRAFT","Desk","8.0","7.5","8.0","8.5","7.0","7.9","Worth Considering","Med-High","No","No","US/DPF transfer; AI note blocked"
"Seesaw","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Remind","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Khan Academy Kids","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Lingokids","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Common Sense Media","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Internet Matters","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Kooth","SCORED-DRAFT","Desk","8.0","8.0","8.0","5.5","N/A","7.6","Worth Considering","Med","No","No","Accessibility WCAG unverified; Transparency N/A (human service)"
"Bedtime Math","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Turnitin","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Copyleaks","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Gradescope","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Kahoot!","SCORED-DRAFT","Desk","7.5","8.0","7.5","8.0","5.0","7.5","Worth Considering","Med-High","No","No","AI model undisclosed; VPAT not inspected"
"Mentimeter","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Padlet","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Flipgrid (Flip)","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Poll Everywhere","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Replit Ghostwriter","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"GitHub Copilot","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Scratch AI Extensions","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Code.org AI","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"micro:bit with AI","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Teachable Machine","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"ML for Kids","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Cursor AI","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Lego Education SPIKE","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Elicit","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Consensus","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Scite.ai","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Notion AI","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Fireflies.ai","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Reflect","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Woebot","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Togetherall","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Quizizz","SCORED-DRAFT","Desk","7.5","8.0","7.0","7.5","8.0","7.6","Worth Considering","Med-High","No","No","VPAT request-only; rebrand to Wayground"
"Edpuzzle","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Wooclap","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Explain Everything","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Class Companion","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Parlay","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Loom for Education","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Whetstone Education","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Screencastify","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Classkick","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Hegarty Maths","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Dr Frost Maths","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"MathsWatch","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Times Tables Rock Stars","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Sam Learning","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Pobble","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"StudySmarter","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Anki","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Prodigy Math","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Revision World","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Therapy Box","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Pictello","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"NoRedInk","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Turnitin Draft Coach","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Writable","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Copy.ai","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Jasper AI","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Rytr","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Descript","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"HeyGen","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Kapwing","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"WeVideo","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Piktochart","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Animoto","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Parent Zone","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Family Zone","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Google Family Link","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"CEOP ThinkUKnow","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Talking Futures","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Edulastic","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Socrative","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Quizalize","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Plickers","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Ziplet","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Tinkercad","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Raspberry Pi Foundation","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Kano Computing","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Connected Papers","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"ResearchRabbit","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Semantic Scholar","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Zotero","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"SciSummary","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Humata AI","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Todoist AI","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Asana","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Zapier AI","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Mem AI","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Reclaim AI","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Clockwise","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Coda AI","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Tana","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Wysa","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Headspace for Education","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Calm for Schools","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Place2Be","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Unmind","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"SIMS (Capita)","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Bromcom","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"ScholarPack","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Pupil Asset","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"FFT Aspire","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"SISRA Analytics","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"4Matrix","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Compass Education","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"MyConcern","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Impero Education Pro","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Securus Software","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Lightspeed Systems","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Eduspot Wellbeing","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"AI for Education (AIfE)","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"NAACE AI in Education","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"DfE AI in Education Guidance","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"EdSafe AI Alliance","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"UNESCO AI in Education","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Accelerated Reader","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Wordwall","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Reading Plus","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
"Spelling Shed","AWAITING-EVIDENCE","Not reviewed","","","","","","","","None","","","All five pillars — evidence not gathered"
